,building_type,total_area_of_buildings,num_of_buildings,num_of_floors,num_of_resdnts_units,num_of_units,condo?,coop?,primary_fuel,boiler_capacity,total_consumption_gallons,boiler_install_date
2579,Elevator Apartments,49428.0,1.0,6.0,48.0,48.0, , ,#4,3.7,40880.0,1994
2580,Hotels,36000.0,1.0,6.0,48.0,48.0, , ,#4,3.7,40880.0,1986
2581,Office Buildings,54500.0,1.0,6.0,47.0,47.0, , ,#4,3.01,40880.0,2003
2582,Elevator Apartments,64800.0,1.0,6.0,55.0,55.0, ,YES,#6,2.8,40880.0,1980
2583,Elevator Apartments,51396.0,1.0,6.0,40.0,40.0, , ,#6,4.2,40600.0,1983
2584,Condominiums,68076.0,1.0,6.0,54.0,54.0, , ,#6,3.57,40004.0,1989
2585,Cultural & Public Assembly,54300.0,1.0,6.0,55.0,55.0, , ,#6,4.2,40004.0,1983
2586,Elevator Apartments,40890.0,1.0,6.0,46.0,46.0, , ,#6,3.6,40000.0,1984
2587,Walk-Up Apartments,54640.0,1.0,8.0,59.0,59.0, , ,#6,4.9,40000.0,1978
2588,Walk-Up Apartments,45000.0,1.0,6.0,49.0,49.0, , ,#4,3.4,40000.0,1985
2589,Walk-Up Apartments,98820.0,1.0,6.0,100.0,100.0, , ,#6,7.38,40000.0,1978
2590,Elevator Apartments,95100.0,1.0,6.0,99.0,99.0, , ,#6,6.3,40000.0,1971
2591,Elevator Apartments,50226.0,1.0,6.0,52.0,59.0, , ,#6,3.7,40000.0,1977
2592,Elevator Apartments,52360.0,1.0,4.0,59.0,59.0, , ,#6,3.8,40000.0,1984
2593,Office Buildings,23500.0,1.0,4.0,26.0,26.0, , ,#4,3.4,40000.0,1984
2594,Hospitals & Health,59490.0,1.0,6.0,50.0,58.0, , ,#6,5.09,39858.0,1997
2595,Elevator Apartments,41400.0,1.0,6.0,51.0,51.0, , ,#6,4.3,39500.0,1984
2596,Elevator Apartments,43716.0,1.0,6.0,38.0,38.0, , ,#6,4.0,39420.0,1988
2597,Elevator Apartments,25600.0,1.0,4.0,38.0,38.0, , ,#4,2.3,39299.0,1983
2598,Walk-Up Apartments,48834.0,1.0,6.0,53.0,53.0, , ,#6,4.2,37960.0,1985
2599,Walk-Up Apartments,60114.0,1.0,6.0,60.0,60.0, , ,#6,4.2,37960.0,1985
2600,Elevator Apartments,75000.0,1.0,6.0,66.0,66.0, , ,#6,3.6,37756.0,1969
2601,Loft Buildings,91078.0,1.0,6.0,77.0,77.0, ,YES,#6,4.1,37668.0,2005
2602,Walk-Up Apartments,92688.0,1.0,6.0,79.0,79.0, ,YES,#6,4.1,37668.0,2007
2603,Elevator Apartments,70200.0,1.0,6.0,69.0,69.0, , ,#6,4.82,37668.0,1995
2604,Condominiums,75036.0,1.0,6.0,78.0,78.0, , ,#6,4.1,37668.0,2005
2605,Elevator Apartments,36400.0,1.0,4.0,41.0,49.0, , ,#4,3.43,37435.0,1990
2606,Elevator Apartments,52320.0,1.0,4.0,47.0,47.0, , ,#4,3.4,37365.0,1986
2607,Educational Structures,51840.0,1.0,6.0,43.0,43.0, ,YES,#6,3.6,37000.0,1984
2608,Elevator Apartments,51390.0,1.0,6.0,40.0,48.0, , ,#4,3.2,36500.0,1973
2609,Loft Buildings,11200.0,1.0,2.0,0.0,0.0, , ,#4,4.2,36500.0,1997
2610,Elevator Apartments,40000.0,1.0,4.0,39.0,44.0, , ,#4,4.2,36500.0,1991
2611,Office Buildings,35700.0,1.0,4.0,43.0,50.0, , ,#6,3.5,36500.0,1969
2612,Elevator Apartments,34201.0,1.0,5.0,51.0,51.0, , ,#4,3.4,36500.0,1986
2613,Loft Buildings,52764.0,1.0,6.0,47.0,47.0, , ,#6,3.3,35770.0,1988
2614,Office Buildings,40740.0,1.0,6.0,41.0,41.0, , ,#6,3.3,35770.0,1985
