,building_type,total_area_of_buildings,num_of_buildings,num_of_floors,num_of_resdnts_units,num_of_units,condo?,coop?,primary_fuel,boiler_capacity,total_consumption_gallons,boiler_install_date
0,Elevator Apartments,86412.0,1.0,6.0,87.0,87.0, , ,#6,6.0,716160.0,1986
1,Elevator Apartments,134703.0,2.0,6.0,127.0,127.0, , ,#6,6.27,550000.0,1993
2,Elevator Apartments,480769.0,1.0,11.0,0.0,1.0, , ,#6,25.21,492750.0,1989
3,Loft Buildings,421234.0,4.0,8.0,0.0,1.0, , ,#6,49.5,482040.0,2001
4,Walk-Up Apartments,53376.0,1.0,6.0,67.0,67.0, , ,#6,4.2,480000.0,1983
5,Educational Structures,116508.0,4.0,1.0,0.0,1.0, , ,#6,29.41,459900.0,1995
6,Elevator Apartments,337570.0,1.0,21.0,322.0,322.0, ,YES,#6,20.3,423400.0,1967
7,Walk-Up Apartments,1074489.0,2.0,42.0,871.0,872.0, ,YES,#6,16.7,420042.0,2007
8,Office Buildings,34816.0,1.0,4.0,44.0,44.0, , ,#4,3.43,395491.0,1980
9,Elevator Apartments,55700.0,1.0,5.0,60.0,60.0, , ,#4,4.96,384117.0,1988
10,Condominiums,421833.0,2.0,9.0,355.0,355.0, , ,#4,14.7,375584.0,1973
11,Office Buildings,256750.0,1.0,19.0,225.0,225.0, ,YES,#6,19.99,374490.0,1992
12,Condominiums,235297.0,1.0,12.0,0.0,1.0, , ,#6,21.0,373020.0,1999
13,Walk-Up Apartments,285056.0,1.0,17.0,321.0,322.0, ,YES,#6,16.8,367920.0,1966
14,Educational Structures,173369.0,1.0,10.0,0.0,1.0, , ,#6,21.0,365000.0,1999
15,Elevator Apartments,34356.0,1.0,5.0,46.0,52.0, , ,#6,4.2,361356.0,1987
16,Elevator Apartments,318060.0,2.0,30.0,266.0,266.0, ,YES,#6,16.94,354364.0,1982
17,Walk-Up Apartments,404890.0,2.0,20.0,437.0,437.0, ,YES,#6,16.8,350000.0,1986
18,Loft Buildings,34800.0,2.0,5.0,0.0,6.0, , ,#4,4.48,343075.0,1971
19,Walk-Up Apartments,598478.0,5.0,13.0,624.0,624.0, ,YES,#6,17.76,328500.0,1993
20,Walk-Up Apartments,1069698.0,4.0,19.0,968.0,968.0, , ,#4,16.8,328500.0,1994
21,Walk-Up Apartments,45000.0,1.0,5.0,48.0,48.0, , ,#6,3.1,328500.0,1986
22,Office Buildings,490000.0,2.0,21.0,459.0,459.0, , ,#6,15.46,317952.0,1997
23,Office Buildings,407920.0,1.0,20.0,437.0,437.0, ,YES,#6,18.3,306600.0,1986
24,Elevator Apartments,35986.0,1.0,6.0,48.0,48.0, , ,#6,3.28,281853.0,1989
25,Elevator Apartments,1074489.0,2.0,42.0,871.0,872.0, ,YES,#6,21.0,280000.0,1984
26,Walk-Up Apartments,421833.0,2.0,9.0,355.0,355.0, , ,#6,10.04,279882.0,2003
27,Elevator Apartments,254000.0,1.0,6.0,326.0,326.0, , ,#6,12.62,279225.0,1989
28,Walk-Up Apartments,320157.0,1.0,4.0,360.0,360.0, , ,#6,12.62,262800.0,1989
29,Office Buildings,235000.0,1.0,14.0,227.0,227.0, , ,#4,12.6,262075.0,2002
30,Walk-Up Apartments,201511.0,2.0,12.0,145.0,145.0, ,YES,#6,11.9,260610.0,1990
31,Elevator Apartments,200000.0,1.0,6.0,185.0,185.0, ,YES,#6,14.7,252945.0,1986
32,Elevator Apartments,276550.0,1.0,10.0,298.0,301.0, , ,#4,12.6,246375.0,1994
33,Elevator Apartments,247530.0,1.0,19.0,188.0,188.0, ,YES,#6,17.71,233600.0,1982
34,Educational Structures,174671.0,1.0,18.0,213.0,213.0, , ,#6,17.7,230607.0,2006
35,Elevator Apartments,237000.0,1.0,6.0,176.0,176.0, , ,#6,10.36,229950.0,1994
36,Walk-Up Apartments,90744.0,1.0,6.0,64.0,65.0, , ,#4,5.3,226750.0,1982
37,Office Buildings,105356.0,1.0,6.0,60.0,60.0, , ,#4,5.32,226750.0,1982
38,Loft Buildings,168962.0,1.0,12.0,143.0,143.0, ,YES,#6,10.5,219000.0,1983
39,Office Buildings,395000.0,3.0,6.0,462.0,462.0, ,YES,#6,21.0,219000.0,1969
40,Walk-Up Apartments,395000.0,3.0,6.0,462.0,462.0, ,YES,#6,12.3,219000.0,1969
41,Walk-Up Apartments,421234.0,4.0,8.0,0.0,1.0, , ,#6,23.94,214240.0,2001
42,Elevator Apartments,213921.0,1.0,13.0,183.0,183.0, ,YES,#6,14.76,211044.0,1982
43,Elevator Apartments,27000.0,1.0,5.0,31.0,31.0, , ,#4,2.6,210000.0,1985
44,Loft Buildings,395000.0,3.0,6.0,462.0,462.0, ,YES,#6,8.36,208999.0,2003
45,Elevator Apartments,26300.0,1.0,5.0,35.0,35.0, , ,#4,2.6,208040.0,1982
46,Elevator Apartments,876500.0,2.0,25.0,1248.0,1248.0, ,YES,#6,21.14,205312.0,1996
47,Condominiums,234000.0,2.0,12.0,224.0,225.0, ,YES,#6,12.6,200000.0,1991
48,"Churches, Synagogues, etc.",337570.0,1.0,21.0,322.0,322.0, ,YES,#6,21.0,199400.0,2002
49,Elevator Apartments,337570.0,1.0,21.0,322.0,322.0, ,YES,#6,20.3,197100.0,1993
50,Walk-Up Apartments,128500.0,1.0,13.0,138.0,138.0, , ,#6,14.75,197100.0,1988
51,Elevator Apartments,268560.0,1.0,4.0,292.0,292.0, , ,#6,10.36,197100.0,1989
52,Walk-Up Apartments,231154.0,1.0,15.0,180.0,180.0, ,YES,#6,10.5,197100.0,1994
53,Walk-Up Apartments,289000.0,2.0,6.0,269.0,269.0, ,YES,#6,8.8,193158.0,1989
54,Elevator Apartments,395000.0,1.0,12.0,0.0,12.0, , ,#6,9.1,189800.0,1971
55,Elevator Apartments,282920.0,4.0,5.0,358.0,368.0, , ,#6,8.36,189070.0,1986
56,Elevator Apartments,381213.0,1.0,21.0,352.0,352.0, ,YES,#6,17.9,188163.0,1981
57,Elevator Apartments,359556.0,3.0,14.0,330.0,330.0, , ,#6,10.0,186588.0,2006
58,Walk-Up Apartments,876500.0,2.0,25.0,1248.0,1248.0, ,YES,#6,29.4,184635.0,1983
59,Elevator Apartments,119460.0,1.0,6.0,103.0,103.0, , ,#6,8.4,183960.0,1983
60,Condominiums,0.0,0.0,0.0,0.0,0.0, ,YES,#6,6.6,182318.0,2007
61,Walk-Up Apartments,184500.0,2.0,6.0,177.0,177.0, , ,#6,9.95,181660.0,1981
62,Elevator Apartments,217800.0,2.0,6.0,170.0,170.0, ,YES,#6,8.4,179361.0,1991
63,Hotels,395000.0,3.0,6.0,462.0,462.0, ,YES,#6,6.69,179361.0,2003
64,Elevator Apartments,400180.0,1.0,20.0,435.0,435.0, ,YES,#6,16.8,177555.0,1986
65,Elevator Apartments,139650.0,1.0,6.0,118.0,119.0, , ,#6,13.4,175747.0,1978
66,Elevator Apartments,359556.0,3.0,14.0,330.0,330.0, , ,#6,8.4,175200.0,1970
67,Elevator Apartments,272370.0,1.0,20.0,227.0,227.0, , ,#6,14.1,170890.0,1973
68,Condominiums,265625.0,1.0,17.0,238.0,238.0, , ,#6,12.6,170000.0,1971
69,Condominiums,351827.0,1.0,13.0,282.0,282.0, ,YES,#6,40.1,167622.0,2005
70,Elevator Apartments,277000.0,6.0,5.0,340.0,340.0, , ,#6,10.5,167462.0,1986
71,Elevator Apartments,844578.0,1.0,30.0,588.0,608.0, , ,#6,21.0,167000.0,1984
72,Elevator Apartments,198104.0,1.0,20.0,159.0,159.0, , ,#6,15.93,164250.0,1994
73,Walk-Up Apartments,250000.0,6.0,5.0,280.0,280.0, , ,#6,8.55,164250.0,1989
74,Elevator Apartments,15525.0,1.0,2.0,0.0,11.0, , ,#6,8.4,164250.0,1993
75,Elevator Apartments,1405879.0,11.0,1.0,0.0,10.0, , ,#4,28.0,164250.0,1973
76,Elevator Apartments,209819.0,2.0,17.0,173.0,173.0, , ,#6,8.19,164250.0,1993
77,Elevator Apartments,182218.0,1.0,16.0,140.0,140.0, ,YES,#6,8.2,164250.0,1993
78,Elevator Apartments,74080.0,1.0,2.0,0.0,2.0, , ,#4,21.0,164000.0,1988
79,Condominiums,116222.0,1.0,11.0,100.0,100.0, ,YES,#6,7.4,160965.0,1991
80,Walk-Up Apartments,61917.0,1.0,6.0,63.0,63.0, , ,#6,5.7,160000.0,1977
81,Office Buildings,4424.0,1.0,1.0,0.0,1.0, , ,#6,20.0,159430.0,2003
82,Elevator Apartments,4424.0,1.0,1.0,0.0,1.0, , ,#6,20.0,159430.0,2003
83,Condominiums,216000.0,1.0,12.0,0.0,1.0, , ,#6,20.65,157950.0,2003
84,Walk-Up Apartments,1074489.0,2.0,42.0,871.0,872.0, ,YES,#6,17.7,156366.0,2006
85,Elevator Apartments,1074489.0,2.0,42.0,871.0,872.0, ,YES,#6,17.7,156366.0,2006
86,Elevator Apartments,256750.0,1.0,19.0,225.0,225.0, ,YES,#6,17.66,156038.0,1992
87,Elevator Apartments,200000.0,1.0,6.0,180.0,193.0, , ,#6,14.1,154578.0,1983
88,Elevator Apartments,35360.0,4.0,2.0,0.0,1.0, , ,#4,16.8,153300.0,1973
89,Elevator Apartments,200314.0,1.0,7.0,142.0,142.0, ,YES,#6,14.7,151767.0,1987
90,Elevator Apartments,175806.0,1.0,6.0,172.0,184.0, , ,#4,10.5,150000.0,1980
91,Walk-Up Apartments,1074489.0,2.0,42.0,871.0,872.0, ,YES,#6,17.8,149796.0,1984
92,Elevator Apartments,216650.0,1.0,21.0,209.0,209.0, , ,#6,8.3,149358.0,2006
93,Elevator Apartments,256000.0,1.0,16.0,208.0,208.0, ,YES,#6,8.3,149358.0,2007
94,Elevator Apartments,275568.0,21.0,3.0,177.0,177.0,YES, ,#6,11.72,147825.0,1999
95,Elevator Apartments,216000.0,2.0,6.0,169.0,169.0, ,YES,#6,7.0,147825.0,1992
96,Elevator Apartments,428360.0,1.0,23.0,453.0,466.0, ,YES,#6,16.5,147815.0,1986
97,Elevator Apartments,232532.0,1.0,18.0,213.0,213.0, ,YES,#6,17.71,147679.0,1983
98,Elevator Apartments,40175.0,1.0,6.0,40.0,42.0, , ,#4,4.06,146609.0,1998
99,Elevator Apartments,54256.0,1.0,6.0,57.0,57.0, , ,#4,4.0,146000.0,1986
100,Elevator Apartments,639330.0,6.0,14.0,700.0,700.0, , ,#6,55.4,146000.0,1983
101,Warehouses,201600.0,1.0,9.0,118.0,123.0, , ,#6,9.3,141380.0,1980
102,Hospitals & Health,232532.0,1.0,18.0,213.0,213.0, ,YES,#6,14.7,141372.0,1989
103,Elevator Apartments,400932.0,1.0,21.0,353.0,353.0, , ,#6,17.7,140160.0,2005
104,Elevator Apartments,300000.0,1.0,2.0,0.0,2.0, , ,#6,14.11,139612.0,1994
105,Educational Structures,255200.0,1.0,6.0,166.0,166.0, , ,#6,13.48,139612.0,1990
106,Walk-Up Apartments,92748.0,1.0,6.0,80.0,80.0, , ,#6,5.8,137057.0,1980
107,Elevator Apartments,423500.0,1.0,13.0,278.0,279.0, , ,#6,12.6,135030.0,1996
108,Loft Buildings,252105.0,1.0,6.0,254.0,260.0, ,YES,#6,10.5,135000.0,1989
109,Office Buildings,140000.0,1.0,6.0,85.0,85.0, ,YES,#6,7.4,134138.0,1979
110,Elevator Apartments,167750.0,1.0,14.0,166.0,166.0, ,YES,#6,8.8,133809.0,2003
111,Elevator Apartments,204433.0,1.0,5.0,0.0,1.0, , ,#6,8.36,133809.0,2003
112,Elevator Apartments,85068.0,1.0,12.0,95.0,95.0, , ,#6,198.87,133043.0,1998
113,Elevator Apartments,38912.0,1.0,1.0,0.0,1.0, , ,#4,9.8,132300.0,1989
114,Elevator Apartments,179920.0,1.0,13.0,158.0,158.0, ,YES,#6,11.0,131692.0,1979
115,Hotels,142000.0,1.0,13.0,130.0,130.0, ,YES,#6,10.0,131400.0,2006
116,Elevator Apartments,109152.0,1.0,6.0,106.0,106.0, ,YES,#6,6.4,131400.0,1987
117,Office Buildings,352360.0,1.0,20.0,297.0,297.0, ,YES,#6,11.72,131400.0,2003
118,Elevator Apartments,207100.0,3.0,6.0,119.0,120.0, ,YES,#6,12.6,131400.0,1985
119,Condominiums,65394.0,1.0,6.0,67.0,67.0, , ,#6,5.2,131400.0,1980
120,Elevator Apartments,252400.0,1.0,24.0,230.0,230.0, , ,#6,12.6,131400.0,1994
121,Elevator Apartments,252400.0,1.0,24.0,230.0,230.0, , ,#6,12.6,131400.0,1996
122,Elevator Apartments,108757.0,1.0,7.0,116.0,116.0, ,YES,#6,7.8,131400.0,1985
123,Walk-Up Apartments,94000.0,1.0,6.0,101.0,105.0, ,YES,#6,6.3,131400.0,1983
124,Warehouses,95370.0,1.0,11.0,129.0,129.0, , ,#6,8.86,131400.0,1983
125,Walk-Up Apartments,73842.0,1.0,6.0,73.0,73.0, , ,#6,6.3,130816.0,1985
126,Loft Buildings,890000.0,10.0,8.0,874.0,875.0, , ,#6,9.8,127750.0,1990
127,Educational Structures,194730.0,1.0,11.0,125.0,125.0, ,YES,#6,8.19,126000.0,1989
128,Walk-Up Apartments,35000.0,2.0,4.0,0.0,1.0, , ,#4,7.0,125195.0,1970
129,Hotels,140662.0,4.0,6.0,168.0,168.0, ,YES,#6,12.6,125000.0,1986
130,Elevator Apartments,135224.0,1.0,2.0,0.0,1.0, , ,#6,11.9,124000.0,1982
131,Elevator Apartments,194388.0,2.0,6.0,188.0,189.0, , ,#6,8.19,123844.0,1993
132,Educational Structures,443283.0,5.0,13.0,403.0,403.0, , ,#6,12.62,123188.0,1999
133,Walk-Up Apartments,148500.0,1.0,15.0,170.0,170.0, , ,#6,8.3,123188.0,2005
134,Walk-Up Apartments,148500.0,1.0,15.0,170.0,170.0, , ,#6,12.6,123188.0,1995
135,Elevator Apartments,209920.0,1.0,14.0,160.0,160.0, ,YES,#6,10.5,123187.0,1973
136,Elevator Apartments,208560.0,1.0,10.0,239.0,239.0, , ,#6,10.9,123058.0,1998
137,"Churches, Synagogues, etc.",124492.0,2.0,6.0,123.0,123.0, , ,#6,8.5,122640.0,1985
138,Walk-Up Apartments,32400.0,1.0,4.0,38.0,38.0, , ,#6,3.4,122202.0,1979
139,Elevator Apartments,141721.0,2.0,12.0,122.0,122.0, ,YES,#6,8.4,121545.0,1995
140,Walk-Up Apartments,291840.0,14.0,6.0,291.0,291.0, , ,#6,16.8,121000.0,2000
141,Hotels,59142.0,2.0,7.0,82.0,82.0, , ,#6,5.9,120269.0,1982
142,Elevator Apartments,718399.0,1.0,22.0,439.0,439.0, ,YES,#6,26.46,120000.0,1984
143,Elevator Apartments,34333.0,1.0,6.0,38.0,38.0, , ,#6,3.9,116800.0,1985
144,Elevator Apartments,84826.0,1.0,6.0,74.0,80.0, , ,#6,5.9,116800.0,1984
145,Elevator Apartments,352866.0,2.0,16.0,317.0,317.0, , ,#6,15.4,115304.0,2003
146,Walk-Up Apartments,74880.0,1.0,8.0,63.0,63.0, , ,#6,5.25,114976.0,1984
147,Walk-Up Apartments,98238.0,1.0,6.0,93.0,93.0, , ,#4,5.3,114976.0,1986
148,Elevator Apartments,143606.0,2.0,5.0,172.0,172.0, , ,#6,12.6,114975.0,1985
149,Elevator Apartments,139235.0,2.0,15.0,103.0,103.0, , ,#6,8.86,114975.0,2002
150,Walk-Up Apartments,1021752.0,11.0,6.0,948.0,955.0, , ,#6,16.66,114975.0,1996
151,Elevator Apartments,189592.0,1.0,6.0,144.0,144.0, ,YES,#6,12.6,114975.0,1985
152,Warehouses,184500.0,2.0,6.0,177.0,177.0, , ,#6,10.36,114975.0,1997
153,Elevator Apartments,108306.0,1.0,11.0,111.0,111.0, ,YES,#6,5.2,114974.0,1982
154,Elevator Apartments,68846.0,1.0,6.0,64.0,64.0, , ,#4,5.1,114658.0,1980
155,Office Buildings,70650.0,1.0,6.0,72.0,72.0, , ,#6,5.6,114542.0,1981
156,Office Buildings,263206.0,2.0,9.0,180.0,180.0, ,YES,#6,8.37,113442.0,2002
157,Elevator Apartments,174705.0,1.0,6.0,138.0,140.0, , ,#6,10.5,113442.0,2000
158,Walk-Up Apartments,84006.0,2.0,6.0,72.0,72.0, , ,#6,5.6,112753.0,1980
159,Factory & Industrial Buildings,76860.0,1.0,5.0,62.0,62.0, , ,#6,10.8,112712.0,1979
160,Hospitals & Health,57250.0,1.0,2.0,52.0,52.0, ,YES,#4,6.2,112420.0,1971
161,Factory & Industrial Buildings,170350.0,2.0,13.0,170.0,171.0, ,YES,#6,8.4,111984.0,1971
162,Condominiums,82218.0,1.0,6.0,49.0,49.0, , ,#4,5.2,110654.0,1981
163,Elevator Apartments,188200.0,2.0,6.0,110.0,110.0, ,YES,#6,12.6,110016.0,1985
164,Elevator Apartments,163944.0,2.0,6.0,104.0,104.0, ,YES,#6,11.9,110000.0,1985
165,Condominiums,150640.0,1.0,6.0,145.0,150.0, ,YES,#6,10.37,110000.0,1987
166,Elevator Apartments,65400.0,1.0,6.0,72.0,72.0, , ,#6,5.0,109896.0,1985
167,Elevator Apartments,69399.0,1.0,6.0,66.0,75.0, , ,#6,5.6,109500.0,1987
168,Elevator Apartments,44743.0,1.0,6.0,47.0,47.0, , ,#6,4.2,109500.0,1973
169,Elevator Apartments,209920.0,1.0,14.0,160.0,160.0, ,YES,#6,8.99,109500.0,1968
170,Elevator Apartments,57000.0,1.0,6.0,54.0,54.0, , ,#6,5.6,109500.0,1981
171,Elevator Apartments,74580.0,1.0,6.0,78.0,78.0, , ,#6,5.6,109500.0,1987
172,Condominiums,73734.0,1.0,6.0,71.0,71.0, , ,#4,5.2,108040.0,1975
173,Office Buildings,87900.0,2.0,6.0,84.0,89.0, , ,#4,5.1,107742.0,1982
174,Condominiums,72000.0,1.0,5.0,69.0,69.0, , ,#6,5.1,105997.0,1980
175,Office Buildings,70163.0,1.0,6.0,66.0,66.0, , ,#6,1.0,105850.0,1969
176,Elevator Apartments,186480.0,1.0,6.0,127.0,127.0, ,YES,#6,10.5,105672.0,1987
177,Elevator Apartments,202418.0,1.0,8.0,222.0,222.0, , ,#6,14.7,105450.0,2000
178,Educational Structures,212300.0,1.0,20.0,239.0,239.0, ,YES,#4,13.2,105449.0,2003
179,Elevator Apartments,212300.0,1.0,20.0,239.0,239.0, ,YES,#4,13.2,105449.0,2003
180,Elevator Apartments,281965.0,12.0,7.0,0.0,1.0, , ,#4,10.0,105000.0,1984
181,Elevator Apartments,281965.0,12.0,7.0,0.0,1.0, , ,#4,10.0,105000.0,1984
182,Elevator Apartments,138000.0,1.0,7.0,108.0,115.0, , ,#6,9.9,103806.0,1977
183,"Churches, Synagogues, etc.",49600.0,1.0,5.0,62.0,62.0, , ,#6,5.1,103088.0,1980
184,Loft Buildings,158408.0,1.0,7.0,121.0,121.0, , ,#6,9.1,102235.0,1967
185,Elevator Apartments,107340.0,1.0,6.0,125.0,125.0, , ,#6,7.35,102200.0,1983
186,Loft Buildings,58464.0,1.0,6.0,60.0,60.0, , ,#6,2.9,102200.0,1984
187,Elevator Apartments,45966.0,1.0,5.0,53.0,59.0, , ,#6,4.8,100224.0,1982
188,Elevator Apartments,46285.0,1.0,5.0,51.0,51.0, , ,#6,4.81,100224.0,1982
189,Elevator Apartments,111875.0,1.0,7.0,109.0,109.0, , ,#4,7.35,100000.0,1989
190,Elevator Apartments,88500.0,1.0,6.0,91.0,93.0, , ,#6,7.2,100000.0,1981
191,Walk-Up Apartments,142000.0,1.0,13.0,130.0,130.0, ,YES,#6,14.7,100000.0,1980
192,Condominiums,118218.0,1.0,6.0,108.0,109.0, ,YES,#6,8.19,99912.0,1991
193,Walk-Up Apartments,160000.0,1.0,6.0,132.0,132.0, , ,#6,9.94,99400.0,1981
194,Elevator Apartments,72000.0,1.0,6.0,62.0,65.0, , ,#6,10.36,99280.0,1992
195,Walk-Up Apartments,150135.0,1.0,7.0,110.0,133.0,YES, ,#6,12.63,98769.0,1995
196,Educational Structures,265625.0,1.0,17.0,238.0,238.0, , ,#4,13.3,98769.0,2002
197,Elevator Apartments,127000.0,1.0,12.0,120.0,120.0, ,YES,#6,7.0,98600.0,1983
198,Elevator Apartments,139416.0,1.0,6.0,126.0,126.0, ,YES,#6,1.8,98559.0,1985
199,Factory & Industrial Buildings,63608.0,1.0,6.0,55.0,59.0, , ,#6,5.3,98551.0,1982
200,Elevator Apartments,142500.0,1.0,5.0,117.0,117.0, , ,#6,10.4,98550.0,1986
201,Loft Buildings,77050.0,1.0,7.0,62.0,66.0, , ,#6,4.9,98550.0,1984
202,Walk-Up Apartments,235467.0,6.0,6.0,270.0,270.0, , ,#6,10.5,98550.0,1997
203,Walk-Up Apartments,134000.0,1.0,13.0,185.0,203.0, , ,#6,10.5,98550.0,2000
204,Elevator Apartments,120534.0,1.0,12.0,110.0,110.0, ,YES,#6,7.4,98550.0,1988
205,Elevator Apartments,263206.0,2.0,9.0,180.0,180.0, ,YES,#6,10.8,98550.0,1987
206,Walk-Up Apartments,326000.0,1.0,18.0,285.0,285.0, , ,#6,0.0,98550.0,2007
207,Hotels,122000.0,1.0,20.0,117.0,117.0, ,YES,#6,10.22,98550.0,1994
208,Elevator Apartments,55210.0,1.0,5.0,74.0,75.0, , ,#4,5.25,98550.0,1987
209,Office Buildings,148800.0,1.0,4.0,158.0,158.0, , ,#6,5.25,98550.0,1989
210,Elevator Apartments,196432.0,3.0,8.0,167.0,169.0, , ,#6,11.4,98550.0,1987
211,Elevator Apartments,117922.0,1.0,14.0,105.0,105.0, ,YES,#6,17.71,98550.0,1982
212,Elevator Apartments,135870.0,1.0,11.0,108.0,115.0, , ,#6,10.5,98112.0,1983
213,Elevator Apartments,171044.0,1.0,6.0,162.0,163.0, , ,#4,8.8,96579.0,1988
214,Elevator Apartments,152400.0,1.0,6.0,135.0,135.0, , ,#6,8.55,96219.0,1980
215,Elevator Apartments,96126.0,1.0,6.0,81.0,82.0, , ,#6,8.2,96086.0,1980
216,Elevator Apartments,53010.0,1.0,6.0,66.0,66.0, , ,#6,5.3,95812.0,1986
217,Elevator Apartments,51500.0,1.0,5.0,57.0,57.0, , ,#6,4.9,95773.0,1982
218,Walk-Up Apartments,110000.0,1.0,8.0,108.0,108.0, ,YES,#6,7.35,95000.0,1990
219,Elevator Apartments,180000.0,2.0,12.0,123.0,123.0, ,YES,#6,8.4,95000.0,1982
220,Elevator Apartments,72800.0,1.0,7.0,61.0,61.0, ,YES,#6,4.8,94900.0,1986
221,Walk-Up Apartments,75560.0,1.0,6.0,61.0,61.0, , ,#6,4.29,94465.0,1980
222,Elevator Apartments,147727.0,1.0,12.0,154.0,154.0, , ,#6,11.9,94024.0,1968
223,Elevator Apartments,67500.0,1.0,5.0,76.0,78.0, , ,#6,5.02,93440.0,1984
224,Loft Buildings,171000.0,1.0,6.0,146.0,146.0, , ,#6,11.93,93294.0,1997
225,Elevator Apartments,255000.0,2.0,19.0,256.0,256.0, ,YES,#6,11.93,93294.0,1997
226,Elevator Apartments,52800.0,1.0,6.0,55.0,55.0, , ,#6,3.6,93075.0,1985
227,Elevator Apartments,66000.0,1.0,6.0,72.0,72.0, , ,#4,5.04,91980.0,1986
228,Office Buildings,63000.0,2.0,6.0,59.0,59.0, , ,#6,4.2,91980.0,1982
229,Loft Buildings,57620.0,1.0,5.0,57.0,57.0, , ,#6,5.32,91250.0,1980
230,Walk-Up Apartments,125891.0,1.0,6.0,135.0,135.0, ,YES,#6,3.1,91200.0,1980
231,Walk-Up Apartments,164625.0,1.0,5.0,0.0,27.0, , ,#6,10.36,91159.0,1989
232,Walk-Up Apartments,25420.0,1.0,5.0,31.0,31.0, , ,#4,3.2,90674.0,1981
233,Walk-Up Apartments,62805.0,1.0,5.0,72.0,82.0, , ,#6,5.0,90447.0,1986
234,Walk-Up Apartments,150700.0,1.0,7.0,115.0,116.0, ,YES,#6,8.2,90338.0,1983
235,Elevator Apartments,108600.0,1.0,6.0,94.0,94.0, , ,#6,8.2,90338.0,1992
236,Elevator Apartments,99000.0,1.0,8.0,88.0,88.0, , ,#4,8.4,90338.0,2001
237,Office Buildings,144460.0,1.0,14.0,139.0,139.0, ,YES,#4,8.55,90000.0,1990
238,Elevator Apartments,163197.0,1.0,6.0,108.0,108.0, , ,#6,7.0,90000.0,1972
239,Walk-Up Apartments,106100.0,1.0,6.0,86.0,86.0, , ,#4,8.2,89681.0,1986
240,Walk-Up Apartments,141170.0,5.0,8.0,0.0,1.0, , ,#4,6.6,89681.0,2005
241,Elevator Apartments,111675.0,1.0,6.0,84.0,84.0, ,YES,#6,8.19,89681.0,1987
242,Elevator Apartments,108700.0,1.0,10.0,108.0,108.0, ,YES,#6,8.2,89681.0,1984
243,Elevator Apartments,126760.0,1.0,6.0,91.0,96.0, , ,#6,8.2,89681.0,1984
244,Elevator Apartments,120650.0,1.0,6.0,84.0,84.0, , ,#6,8.4,89681.0,1988
245,Elevator Apartments,93767.0,1.0,7.0,89.0,89.0, , ,#4,6.2,89681.0,1994
246,Elevator Apartments,98681.0,1.0,6.0,90.0,90.0, , ,#6,8.2,89681.0,1991
247,Walk-Up Apartments,112507.0,1.0,10.0,118.0,118.0, , ,#6,8.2,89681.0,1984
248,Elevator Apartments,94013.0,4.0,6.0,0.0,1.0, , ,#4,3.3,89426.0,2008
249,Educational Structures,125891.0,1.0,6.0,135.0,135.0, ,YES,#6,7.2,89280.0,1983
250,Elevator Apartments,55440.0,1.0,6.0,54.0,54.0, ,YES,#6,4.3,88770.0,1982
251,Elevator Apartments,69043.0,1.0,6.0,66.0,68.0, , ,#6,5.32,87600.0,1983
252,Elevator Apartments,60000.0,1.0,5.0,64.0,64.0, , ,#6,3.47,87600.0,1979
253,Walk-Up Apartments,235000.0,1.0,14.0,227.0,227.0, , ,#6,17.71,87600.0,1979
254,Elevator Apartments,92000.0,1.0,6.0,95.0,95.0, , ,#6,4.2,87600.0,1969
255,Elevator Apartments,107473.0,1.0,4.0,0.0,1.0, , ,#4,8.76,87600.0,2001
256,Elevator Apartments,87780.0,1.0,6.0,84.0,84.0, , ,#6,6.3,87308.0,1977
257,Loft Buildings,43500.0,1.0,6.0,75.0,75.0, , ,#4,3.7,87298.0,1983
258,Elevator Apartments,42000.0,1.0,5.0,59.0,59.0, , ,#6,7.35,86231.0,1987
259,Elevator Apartments,106386.0,3.0,7.0,116.0,116.0, ,YES,#6,8.2,86140.0,1982
260,Condominiums,136070.0,1.0,16.0,126.0,126.0, ,YES,#6,7.8,85082.0,1996
261,Elevator Apartments,282920.0,4.0,5.0,358.0,368.0, , ,#6,10.36,85000.0,1986
262,Elevator Apartments,134000.0,1.0,13.0,185.0,203.0, , ,#6,10.8,84534.0,1997
263,Elevator Apartments,359556.0,3.0,14.0,330.0,330.0, , ,#6,16.94,84500.0,1988
264,Elevator Apartments,65560.0,1.0,5.0,79.0,79.0, , ,#6,6.3,84448.0,1980
265,Elevator Apartments,132000.0,1.0,6.0,106.0,106.0, , ,#6,7.35,84137.0,1984
266,Elevator Apartments,170350.0,2.0,13.0,170.0,171.0, ,YES,#6,11.1,84000.0,1979
267,Elevator Apartments,56400.0,1.0,6.0,56.0,59.0, ,YES,#6,4.4,83950.0,1987
268,Elevator Apartments,57000.0,1.0,6.0,54.0,59.0, , ,#6,4.29,83759.0,1980
269,Walk-Up Apartments,111270.0,1.0,6.0,79.0,79.0, , ,#6,4.2,82126.0,1986
270,Office Buildings,85266.0,1.0,6.0,89.0,95.0, , ,#4,8.19,82125.0,1990
271,Elevator Apartments,98832.0,1.0,6.0,102.0,102.0, , ,#6,7.4,82125.0,1984
272,Walk-Up Apartments,151800.0,1.0,12.0,92.0,92.0, ,YES,#4,6.6,82125.0,2009
273,Walk-Up Apartments,255000.0,1.0,15.0,196.0,196.0, ,YES,#6,8.37,82125.0,2002
